"Key","Section","Context","en","sq","Proofreader Notes"
"google","google","General UI text","Google","Google",""
"gpsNavigation","gpsNavigation","Navigation text","GPS navigation","Navigacion GPS",""
"gray","gray","General UI text","Gray","Gri",""
"greatDeal","greatDeal","General UI text","Great Deal","Ofertë e shkëlqyer",""
"green","green","General UI text","Green","E gjelbër",""
"grey","grey","General UI text","","Gri",""
"grid","grid","General UI text","Grid","Rrjetë",""
"handpicked","handpicked","General UI text","Handpicked Cars for You","Makina të përzgjedhura për ju",""
"happyCustomers","happyCustomers","General UI text","Happy Customers","Klientë të Kënaqur",""
"hasBeenRemoved","hasBeenRemoved","General UI text","has been removed","",""
"hasVehiclesAvailable","hasVehiclesAvailable","General UI text","cars available","automjete aktualisht të disponueshme",""
"hatchback","hatchback","General UI text","Hatchback","Hatchback",""
"headUpDisplay","headUpDisplay","General UI text","","Ekrani Head-Up",""
"heading","heading","General UI text","Page not naydena","404 - Faqja nuk u gjet",""
"heatedSeats","heatedSeats","General UI text","Heated Seats","Ulëset e Nxehura",""
"help","help","General UI text","Help","Ndihmë",""
"helpCenter","helpCenter","General UI text","Support Center","Qendra e ndihmës",""
"helpImproveService","helpImproveService","General UI text","Help improve our service with usage analytics","Ndihmo për të përmirësuar shërbimin me analitikën e përdorimit",""
"heroSubtitle","heroSubtitle","Page or section title","My na missii sdelat buyu i sellu carey prostoy, prozrachnoy i priyatnoy. S 2009 goda my sdinyaem buyingrey i sellers s doveriem i innovationmi.","Jemi në një mision për ta bërë blerjen dhe shitjen e makinave të thjeshtë, transparente dhe të këndshme. Që nga 2009, kemi qenë duke lidhur blerësit dhe shitësit me besim dhe inovacion.",""
"heroTitle","heroTitle","Page or section title","O CarMarket365","Rreth CarMarket365",""
"hideDetails","hideDetails","General UI text","Hide details","Fshih detajet",""
"hidePhone","hidePhone","General UI text","Hide Phone","Fsheh telefonin",""
"high","high","General UI text","High","",""
"history","history","General UI text","History","Historia",""
"historyCondition","historyCondition","General UI text","","Historiku dhe Gjendja",""
"home","home","General UI text","Home","Fillore",""
"horsepower","horsepower","General UI text","Loshadin sily","Fuqia në Kuaj",""
"hours","hours","General UI text","hours","orë",""
"hoursAgo","hoursAgo","General UI text","hours ago","orë më parë",""
"hoursLabel","hoursLabel","Form label","Chasy raboty","Orët",""
"howDetected","howDetected","Question or prompt","How did we detect this?","Si e zbuluam këtë?",""
"howDoFormsWork","howDoFormsWork","Question or prompt","Kak rabotayut form?","Si funksionojnë format?",""
"howItWorks","howItWorks","General UI text","Kak eto rabotaet","Si Funksionon",""
"howShouldBuyersContact","howShouldBuyersContact","Question or prompt","How should buyingrs contact you?","Si duhet të ju kontaktojnë blerësit?",""
"hybrid","hybrid","General UI text","Hybrid","Hibrid",""
"hybrids","hybrids","General UI text","Hybrids","Automjete Hibride",""
"icon","icon","General UI text","Shield","",""
"id","id","General UI text","account-5","account-5",""
"image","image","General UI text","https:
          linkedin: ","https:
          linkedin: ",""
"imageCounter","imageCounter","General UI text","of","",""
"imageGallery","imageGallery","General UI text","Image Gallery","",""
"imageWithFallback","imageWithFallback","General UI text","Izobrazhenie s rezervom","Imazh me Rezervë",""
"images","images","General UI text","Images","Imazhet",""
"imagesAnswer","imagesAnswer","General UI text","Komponotnt ImageWithFallback obespechivaet avtomaticheskuyu obrabotku oshibok dlya povrezhdenn izobrazheniy, pokazyv zapolnitel po umolchaniyu kogda izobrazheniya not zagruzhayutsya. Eto uluchshaet polzovatelskiy opyt vo vsem prilozhenii.","Komponenti ImageWithFallback siguron trajtim automatik gabimesh për imazhe të thyera, duke treguar një placeholder bazik kur imazhet dështojnë të ngarkohen. Kjo përmirëson përvojën e përdoruesit në të gjithë aplikacionin.",""
"imprint","imprint","General UI text","Legal Notice","Impresumi",""
"improvedAccessibility","improvedAccessibility","General UI text","Improved accessibility and design tokens","Aksesueshmëri dhe token-a dizajni të përmirësuara",""
"information","information","General UI text","Dealer Information","",""
"informationDescription","informationDescription","Description text","We collect information that you provide directly and automatically when using our platform.","Ne mbledhim informacione që jepni drejtpërdrejt dhe automatikisht kur përdorni platformën tonë.",""
"informationWeCollect","informationWeCollect","General UI text","Information We Collect","Informacionet që Mbledhim",""
"innovation","innovation","General UI text","Innovation","Inovacion",""
"innovationDesc","innovationDesc","Description text","We continuously improve our platform with the latest technologies to better serve you.","Ne përmirësojmë vazhdimisht platformën tonë me teknologjinë më të fundit për t\",""
"inquiries","inquiries","General UI text","requests","pyetjet",""
"inquiryNotifications","inquiryNotifications","General UI text","Inquiry Notifications","Njoftimet për pyetjet",""
"inspection","inspection","General UI text","Inspection","Kontrolli teknik",""
"inspectionCompleted","inspectionCompleted","General UI text","inspection completed","",""
"inspectionReport","inspectionReport","General UI text","Vehicle has been verified and meets our quality standards.","Automjeti është kontrolluar dhe i plotëson standardet tona të cilësisë.",""
"inspectionScore","inspectionScore","General UI text","Inspection Score","",""
"instruction","instruction","General UI text","Add up to 10 high-quality photos of your vehicle. The first photo will be the main image in search results.","Shtoni deri në 10 foto me cilësi të lartë të automjetit tuaj. Foto e parë do të jetë imazhi kryesor që shfaqet në rezultatet e kërkimit.",""
"insufficientPermissions","insufficientPermissions","General UI text","You don\","",""
"intellectualProperty","intellectualProperty","General UI text","Intellectual Property","Pronësia Intelektuale",""
"interactiveMapPlaceholder","interactiveMapPlaceholder","Form placeholder text","Interactive map would be here","Harta interaktive do të ishte këtu",""
"interestPaid","interestPaid","General UI text","Interest Paid","",""
"interestRate","interestRate","General UI text","Interest Rate (APR)","Shkalla e Interesit",""
"interestedIn","interestedIn","General UI text","I\","",""
"interiorColor","interiorColor","General UI text","Interior Color","Ngjyra e Brendshme",""
"interiorColorExample","interiorColorExample","General UI text","e.g., black, beige, gray","p.sh. e zezë, bezh, gri",""
"invalidEmail","invalidEmail","General UI text","Please enter a valid email address.","Ju lutemi vendosni një adresë email-i të vlefshme.",""
"invalidFileType","invalidFileType","General UI text","Invalid file type.","Lloj skedari i pavlefshëm.",""
"invalidPhone","invalidPhone","General UI text","Please enter a valid Phone number.","Ju lutemi vendosni një numër telefoni të vlefshëm.",""
"inventory","inventory","General UI text","Inventory","Inventar",""
"inventoryManagement","inventoryManagement","General UI text","• Advanced inventory management","• Advanced inventory management",""
"italy","italy","General UI text","Italy","Italy",""
"january","january","General UI text","January","Janar",""
"johnDealer","johnDealer","General UI text","John Dealer","Gjon Dealer",""
"johnDealerEmail","johnDealerEmail","General UI text","john@dealership.com","gjon@dealership.com",""
"joinCarMarketDealer","joinCarMarketDealer","General UI text","Join CarMarket365 as a professional dealer","Join CarMarket365 as a professional dealer",""
"joinCommunityText","joinCommunityText","General UI text","By creating an account, you join our community of car enthusiasts and agree to our platform rules.","By creating an account, you join our community of car enthusiasts and agree to our platform guidelines.",""
"joinDate","joinDate","General UI text","Join Date","Data e Bashkimit",""
"joinTeam","joinTeam","General UI text","Prisdinitsya k our komande","Bashkohuni me Ekipin Tonë",""
"joinThousands","joinThousands","General UI text","Join thousands of car enthusiasts","Join thousands of car enthusiasts",""
"joinedOn","joinedOn","General UI text","Joined On","U bashkua më",""
"journeyDescription","journeyDescription","Description text","From a small startup to a leading car marketplace, our journey has been driven by innovation and customer satisfaction.","Gurët e kilometrave kyç që kanë formësuar kompanine tonë gjatë viteve",""
"journeyTitle","journeyTitle","Page or section title","Our Journey","Udhëtimi Ynë",""
"journotyDescription","journotyDescription","Description text","Klyuchev vekhi, kotor formirovali nashu kompaniyu na protyazhenii let","",""
"journotyTitle","journotyTitle","Page or section title","Nash put","",""
"keylessEntry","keylessEntry","General UI text","Keyless Entry","Hyrja pa Çelës",""
"kilometers","kilometers","General UI text","kilometers","kilometra",""
"km","km","General UI text","km","km",""
"kmAbbrev","kmAbbrev","General UI text","km","km",""
"kosovo","kosovo","General UI text","Kosovo","Kosova",""
"label","label","Form label","How can we help you?","Lloji i pyetjes",""
"laneKeepAssist","laneKeepAssist","General UI text","","Ndihmesa për Mbajtjen e Korsis",""
"languages","languages","General UI text","Languages","Gjuhët",""
"large","large","General UI text","Large","I madh",""
"lastLogin","lastLogin","General UI text","Last Login","Hyrja e Fundit",""
"lastLoginOn","lastLoginOn","General UI text","Last Login","Hyrja e fundit më",""
"lastName","lastName","General UI text","Last Name","Mbiemri",""
"lastNamePlaceholder","lastNamePlaceholder","Form placeholder text","Petrov","Hoxha",""
"lastNameRequired","lastNameRequired","General UI text","Last Name Required","Last name is required",""
"lastSearch","lastSearch","General UI text","Last Search","Kërkimi i fundit",""
"lastSearches","lastSearches","General UI text","Recent Searches","Kërkimet e fundit",""
"lastService","lastService","General UI text","Last Service","",""
"lastUpdated","lastUpdated","General UI text","Last Updated:","",""
"latvia","latvia","General UI text","Latvia","Letonia",""
"leaseOptions","leaseOptions","General UI text","Lease Options","Opsionet e qirasë",""
"leasing","leasing","General UI text","Lizing","Lejzing",""
"leatherSeats","leatherSeats","General UI text","Leather Seats","Ulëset prej Lëkure",""
"legal","legal","General UI text","Legal Information","Ligjore",""
"legalInfoDescription","legalInfoDescription","Description text","Information o company i yuridicheskie data v sootvetstvii s trebovaniyami zakona.","Informacione të kompanisë dhe detaje ligjore siç kërkohet nga ligji.",""
"legalInfoText","legalInfoText","General UI text","Eta stranitsa soderzhit yuridicheski notobkhodimuyu informatsiyu o CarMarket365 v sootvetstvii s deystvuyushchimi zakonami i normativn aktami. Vsya predostavlenn information aktualna i tochna.","Kjo faqe përmban informacionet e kërkuara ligjërisht për CarMarket365 siç urdhërohet nga ligjet dhe rregulloret në fuqi. Të gjitha informacionet e dhëna janë aktuale dhe të sakta.",""
"legalInfoTitle","legalInfoTitle","Page or section title","Yuridichesk information (Impressum)","Informacione Ligjore (Impressum)",""
"length","length","General UI text","At least 8 characters","",""
"likeNew","likeNew","General UI text","Like New","Si i ri",""
"link","link","General UI text","Link","Lidhje",""
"linkCopied","linkCopied","Alert or exclamation","Link Copied!","",""
"linkCopiedToClipboard","linkCopiedToClipboard","Alert or exclamation","Link copied to clipboard!","",""
"list","list","General UI text","List","Listë",""
"listMyCar","listMyCar","General UI text","","Listo Makinën Time",""
"listMyCarQuickly","listMyCarQuickly","General UI text","List your car quickly and easily","Listoni makinën tuaj shpejt dhe lehtë",""
"listMyCyear","listMyCyear","General UI text","List My Car","",""
"listed","listed","General UI text","Listed","E Shpallur",""
"listedForSale","listedForSale","General UI text","Listed for Sale","",""
"listingDeletedSuccessfully","listingDeletedSuccessfully","Success message","Listing successfully deleted!","Lista u fshi me sukses!",""
"listingFlaggedForReview","listingFlaggedForReview","General UI text","Listing flagged for review","Shpallja u sinjalizua për rishikim",""
"listingHelp","listingHelp","General UI text","Help s listingsmi","Ndihmë për listime",""
"listingHelpDesc","listingHelpDesc","Description text","Poluchite help s vashimi listingsmi carey i inventarem","Merrni ndihmë me listimet e automjeteve dhe inventarin tuaj",""
"listingOptimization","listingOptimization","General UI text","Listing Optimization","Optimizimi i listimeve",""
"listingOptimizationDesc","listingOptimizationDesc","Description text","Tips to improve visibility of your listings","Këshilla për të përmirësuar dukshmërinë e listimeve tuaja",""
"listingPreview","listingPreview","General UI text","Predvaritel view listings","Parapamja e listimit",""
"listingPublished","listingPublished","Alert or exclamation","Listing published successfully!","Listimi u publikua me sukses!",""
"listingSubmission","listingSubmission","General UI text","Podacha listings","Parashtrimi i Shpalljes",""
"listingSubmissionDescription","listingSubmissionDescription","Description text","Kogda polzovateli podayut nov listings carey, kod strany avtomaticheski ustanavlivaetsya na osnove ikh tekushchego poddomena, obespechiv vidimost obyavleniy tolko v pravilnoy stranot.","Kur përdoruesit parashtruan shpallje të reja automjetesh, kodi i vendit vendoset automatikisht bazuar në nëndomenin e tyre aktual, duke siguruar që shpaljet janë të dukshme vetëm në vendin e duhur.",""
"listings","listings","General UI text","","Shpalljet",""
"liveChat","liveChat","General UI text","Live Chat","Chat i Drejtpërdrejtë",""
"loadMore","loadMore","General UI text","Zagruzit eshche","Ngarko Më Shumë",""
"loading","loading","Loading or progress text","Loading...","Po ngarkohet...",""
"loadingCars","loadingCars","Loading or progress text","Zagruzka carey...","Duke ngarkuar makinat...",""
"loadingDetails","loadingDetails","Loading or progress text","Zagruzka detaley...","",""
"loadingVehicle","loadingVehicle","Loading or progress text","Zagruzka car...","",""
"loanAmount","loanAmount","General UI text","Loan Amount","Shuma e Kredisë",""
"loanAmountRequired","loanAmountRequired","General UI text","Loan amount is required","Shuma e kredisë është e detyrueshme",""
"loanCalculator","loanCalculator","General UI text","Loan Calculator","Kalkulatori i Kredisë",""
"loanSummary","loanSummary","General UI text","Loan Summary","Përmbledhje e Kredisë",""
"loanTerm","loanTerm","General UI text","Loan Term","Afati i Kredisë",""
"loanTermRequired","loanTermRequired","General UI text","","Afati i kredisë është i detyrueshëm",""
"loanTerms","loanTerms","General UI text","Loan Terms","Kushtet e Kredisë",""
"localBenefits","localBenefits","General UI text","Local benefits","Përfitimet lokale",""
"localBenefitsTitle","localBenefitsTitle","Page or section title","Local Benefits for {country}","Përfitimet lokale për {country}",""
"localCurrency","localCurrency","General UI text","Local currency and prices","Monedha dhe çmimet lokale",""
"localDealers","localDealers","General UI text","Local dealers and inventory","Dilerët dhe inventari lokal",""
"localLanguages","localLanguages","General UI text","Native language support","Mbështetja e gjuhës amtare",""
"location","location","General UI text","Location","Lokacioni",""
"locationLabel","locationLabel","Form label","Location","",""
"locationNotSpecified","locationNotSpecified","General UI text","Location not specified","Vendndodhja nuk është specifikuar",""
"locationPlaceholder","locationPlaceholder","Form placeholder text","City, State","Qyteti, Shteti",""
"locationRequired","locationRequired","General UI text","Location *","Vendndodhja *",""
"loggedIn","loggedIn","Alert or exclamation","Successfully logged in!","U kyçët me sukses!",""
"loggedOut","loggedOut","Alert or exclamation","Successfully logged out!","U dolët me sukses!",""
"loginWith","loginWith","General UI text","Or continue with","Ose vazhdo me",""
"low","low","General UI text","Low","",""
"lowercase","lowercase","General UI text","One lowercase letter","",""
"lpg","lpg","General UI text","LPG","LPG (Gaz i lëngshëm)",""
"luxury","luxury","General UI text","Luxury","Markat e Luksit",""
"luxuryCars","luxuryCars","General UI text","Lyuksov cari","Makina Luksoze",""
"mainDescription","mainDescription","Description text","Comprehensive safety tips for secure car buying and selling.","Udhëzime thelbësore sigurie për t\",""
"mainImage","mainImage","General UI text","Main Image","",""
"mainOffice","mainOffice","General UI text","Main Office","Zyrja kryesore",""
"mainPhoto","mainPhoto","General UI text","Main Photo","Fotoja Kryesore",""
"mainTitle","mainTitle","Page or section title","Car Safety Recommendations","Siguria e Blerjes dhe Shitjes së Makinave",""
"maintenance","maintenance","General UI text","Consider addressing maintenance issues before trading","",""
"major","major","General UI text","Major modifications","Modifikime të Mëdha",""
"make","make","General UI text","Make","Marka",""
"makeModel","makeModel","General UI text","Make and Model","Marka dhe modeli",""
"makeOffer","makeOffer","General UI text","Make Offer","Bëj ofertë",""
"makeProfileVisible","makeProfileVisible","General UI text","Make your profile visible to other users","Bëje profilin të dukshëm për përdoruesit e tjerë",""
"makeRequired","makeRequired","General UI text","Marka *","Marka *",""
"manageAccount","manageAccount","General UI text","Upravlyat accountom","Menaxho llogarinë",""
"manageAccountAndData","manageAccountAndData","General UI text","Manage your account and data","Menaxho llogarinë dhe të dhënat",""
"manageAccountPreferences","manageAccountPreferences","General UI text","Manage your account settings and privacy preferences","Menaxho preferencat e llogarisë dhe cilësimet e privatësisë",""
"manageContactInfo","manageContactInfo","General UI text","Manage your contact information and profile","Menaxho informacionet e kontaktit dhe profilin",""
"manageExperience","manageExperience","General UI text","manage your car market experience","menaxho përvojën tënde në tregun e automjeteve",""
"manageUsers","manageUsers","General UI text","Manage Users","Menaxho Përdoruesit",""
"managementDescription","managementDescription","Description text","U vas est pol kontrol nad cookies, kotor my ispolzuem na vashem ustroystve.","Ju keni kontroll të plotë mbi cookies që përdorim në pajisjen tuaj.",""
"managementTitle","managementTitle","Page or section title","Upravlenie nastroykami cookies","Menaxhimi i Preferencave të Cookies",""
"managingDirector","managingDirector","General UI text","Upravlyayushchiy direktor","Drejtor Ekzekutiv",""
"managingDirectorValue","managingDirectorValue","General UI text","Max Mustermann","Max Mustermann",""
"managingPreferences","managingPreferences","General UI text","Upravlenie nastroykami cookies","Menaxhimi i Preferencave tuaja të Cookies",""
"managingPreferencesDescription","managingPreferencesDescription","Description text","U vas est kontrol nad cookies, kotor my ispolzuem na vashem ustroystve.","Ju keni kontroll mbi cookies që përdorim në pajisjen tuaj.",""
"manual","manual","General UI text","Manual","Manual",""
"market","market","General UI text","","Kushtet e Tregut",""
"marketValue","marketValue","General UI text","Market Value","Vlera e tregut",""
"massagingSeats","massagingSeats","General UI text","","Ulëset Masazhuese",""
"matchPercentage","matchPercentage","General UI text","% match","% përputhje",""
"max","max","General UI text","maks.","maks.",""
"maxMileage","maxMileage","General UI text","Max Mileage","Kilometrazhi Maksimal",""
"maxPhotos","maxPhotos","General UI text","Maximum 20 photos","Maksimumi 20 foto",""
"maxPrice","maxPrice","General UI text","Max Price","Çmimi Maksimal",""
"maxYear","maxYear","General UI text","Max Year","Viti Maks.",""
"medium","medium","General UI text","Copperium","",""
"memorySeats","memorySeats","General UI text","","Ulëset me Kujtesë",""
"menu","menu","Menu item","Menu","Menu",""
"mercedesBenz","mercedesBenz","General UI text","Mercedes-Benz","Mercedes-Benz",""
"mercedesCClass2020","mercedesCClass2020","Description text","2020 Mercedes C-Class","2020 Mercedes C-Klasa",""
"message","message","General UI text","Nasha team support dealers ready help vam dobitsya uspekha. Contact Us po adresu dealers@carmaket365.com ili through panotl dealera.","Faqja që po kërkoni nuk ekziston ose është lëvizur.",""
"messageMinLength","messageMinLength","General UI text","Soobshchenie dolzhno soderzhat not menote 10 simvolov","Mesazhi duhet të jetë të paktën 10 karaktere",""
"messageRequired","messageRequired","General UI text","Message is required","Mesazhi është i detyrueshëm",""
"miAbbrev","miAbbrev","General UI text","mi","mi",""
"mileage","mileage","General UI text","Mileage","Kilometrazhi",""
"mileage18k","mileage18k","General UI text","18,000 km","18,000 km",""
"mileage25k","mileage25k","General UI text","25,000 km","25,000 km",""
"mileage32k","mileage32k","General UI text","32,000 km","32,000 km",""
"mileageHighToLow","mileageHighToLow","General UI text","Mileage: High to Low","Kilometrazhi: nga i lartë te i ulët",""
"mileageInvalid","mileageInvalid","General UI text","Please enter valid mileage","",""
"mileageLowToHigh","mileageLowToHigh","General UI text","Mileage: Low to High","Kilometrazhi: nga i ulët te i lartë",""
"mileageMax","mileageMax","General UI text","Max Mileage","Kilometrazhi Maks.",""
"mileageNegative","mileageNegative","General UI text","Mileage cannot be negative","Kilometrazhi nuk mund të jetë negativ",""
"mileageRange","mileageRange","General UI text","Mileage Range","Spektri i kilometrazhit (km)",""
"mileageRequired","mileageRequired","General UI text","Probeg *","Kilometrat *",""
"miles","miles","General UI text","miles","milje",""
"miles100","miles100","General UI text","","100 km",""
"miles200","miles200","General UI text","","200 km",""
"miles25","miles25","General UI text","","25 km",""
"miles250","miles250","General UI text","","250 milje",""
"miles50","miles50","General UI text","","50 km",""
"miles500","miles500","General UI text","","500 milje",""
"milesAway","milesAway","General UI text","km","milje larg",""
"milesLabel","milesLabel","Form label","kilometers","kilometra",""
"minPrice","minPrice","General UI text","Min Price","Çmimi Minimal",""
"minYear","minYear","General UI text","Min Year","Viti Min.",""
"minivan","minivan","General UI text","","Minifurgonet",""
"minor","minor","General UI text","Minor modifications","Modifikime të Vogla",""
"missionContent","missionContent","General UI text","To revolutionize the car buying and selling experience by providing a transparent, reliable, and user-friendly platform that connects people with their ideal vehicle.","Të revolucionarizojmë përvojën e blerjes dhe shitjes së makinave duke ofruar një platformë transparente, të besueshme dhe miqësore që lidh njerëzit me automjetin e tyre të përkryer.",""
"missionDescription","missionDescription","Description text","We believe everyonot deserves access to reliable transportation and fair prices, without the stress and uncertainty traditionally associated with car buying.","Ne besojmë se çdokush meriton qasje në transport të besueshëm dhe çmime të drejta, pa stres dhe pasiguri që tradicionalisht shoqërohet me blerjen e makinave.",""
"missionTitle","missionTitle","Page or section title","Nasha missiya","Misioni Ynë",""
"model","model","General UI text","Model","Modeli",""
"modelRequired","modelRequired","General UI text","Model *","Modeli *",""
"modifications","modifications","General UI text","Modifications","Modifikimet",""
"modificationsRequired","modificationsRequired","General UI text","Please select modifications","",""
"mondayFriday","mondayFriday","General UI text","Ponotdelnik - Pyatnitsa: 8:00 - 20:00 EST","8:00 - 20:00",""
"monthlyExpensesRequired","monthlyExpensesRequired","General UI text","Monthly expenses are required","Shpenzimet mujore janë të detyrueshme",""
"monthlyPayment","monthlyPayment","General UI text","Monthly Payment Calculation","Pagesë Mujore",""
"months","months","General UI text","months","muaj",""
"moonroof","moonroof","General UI text","","Çati hëne",""
"mostPopular","mostPopular","General UI text","Most Popular","Më i popullarizuari",""
"motorbikes","motorbikes","General UI text","Motorbikes","Motorë",""
"motorcycles","motorcycles","General UI text","Motorcycles","Motorra",""
"multiple","multiple","General UI text","Multiple accidents","Shumë Aksidente",""
"mustBeCharacters","mustBeCharacters","General UI text","Must be at least 8 characters","Must be at least 8 characters",""
"myAccount","myAccount","General UI text","My Account","Llogaria ime",""
"myDashboard","myDashboard","General UI text","My Dashboard","Paneli im",""
"myListings","myListings","General UI text","My Listings","Shpaljet e Mia",""
"name","name","General UI text","David Wilson","Futni emrin tuaj të plotë",""
"nameMinLength","nameMinLength","General UI text","Imya dolzhno soderzhat not menote 2 simvolov","Emri duhet të jetë të paktën 2 karaktere",""
"namePlaceholder","namePlaceholder","Form placeholder text","Enter your name","Shkruani emrin tuaj",""
"nameRequired","nameRequired","General UI text","Name is required","Emri është i detyrueshëm",""
"nationwide","nationwide","General UI text","Nationwide","Në Mbarë Vendin",""
"navigationSystem","navigationSystem","Navigation text","","Sistemi i Navigimit",""
"negative","negative","General UI text","Negative factors","",""
"negativeFactors","negativeFactors","General UI text","","Faktorë Negativë",""
"negotiable","negotiable","General UI text","Negotiable","I diskutueshëm",""
"netherlands","netherlands","General UI text","Netherlands","Netherlands",""
"network","network","General UI text","Network error. Please check your connection.","Gabim në rrjet. Ju lutemi kontrolloni lidhjen tuaj.",""
"networkError","networkError","Error message","Network error","Gabim në rrjet",""
"neutral","neutral","General UI text","Neutral factors","",""
"neverLoggedIn","neverLoggedIn","General UI text","Never logged in","Kurrë nuk ka hyrë",""
"new","new","General UI text","New","e re",""
"newArrival","newArrival","General UI text","New Arrival","Ardhje e re",""
"newCars","newCars","General UI text","New Cars","Makina të reja",""
"newDealerRegistration","newDealerRegistration","General UI text","New dealer registration","Regjistrimi i shitësit të ri",""
"newExpress","newExpress","Action instruction","New Express","Shpejtë e re",""
"newExpressSale","newExpressSale","Action instruction","New Express Sale","New Express Sale",""
"newFeaturesAnswer","newFeaturesAnswer","General UI text","Uluchshenn UI komponotnty vklyuchayut uluchshennuyu accessibility, luchshie sostoyaniya fokusa, soglasovann dizayn tokeny i uluchshenn animatsii. Vse komponotnty teper sleduyut sovremeedm dizayn patternam i luchshim praktikam.","Komponentët UI të përmirësuara përfshijnë aksesueshmëri të përmirësuar, gjendje më të mira fokusi, token-a dizajni të qëndrueshëm dhe animacione të përmirësuara. Të gjithë komponentët tani ndjekin modele moderne dizajni dhe praktikat më të mira.",""
"newListing","newListing","General UI text","New Listing","Listë e re",""
"newListings","newListings","General UI text","new","",""
"newListingsAlerts","newListingsAlerts","General UI text","New Listings Alerts","Alarmet për lista të reja",""
"newSearch","newSearch","General UI text","New Search","Kërkim i ri",""
"newThisMonth","newThisMonth","General UI text","new this month","të rinj këtë muaj",""
"newUserRegistrations","newUserRegistrations","General UI text","New User Registrations","Regjistrimet e Përdoruesve të Rinj",""
"newest","newest","General UI text","Newest","Më të rejat",""
"newsletter","newsletter","General UI text","Newsletter","Buletini",""
"next","next","General UI text","Next","Tjetër",""
"nextStep","nextStep","General UI text","Next Step","Hapi tjetër",""
"nextSteps","nextSteps","General UI text","Next Steps","",""
"nightVision","nightVision","General UI text","","Shikimi Natën",""
"no","no","General UI text","No","Jo",""
"noCarsFound","noCarsFound","General UI text","Cars not naydeny","Nuk u gjetën makina",""
"noCarsFoundDescription","noCarsFoundDescription","Description text","V nastoyashchee time v {country} nott opublikovann carey.","Asnjë automjet nuk është shpallur aktualisht në {country}.",""
"noCarsInCountry","noCarsInCountry","General UI text","V nastoyashchee time nott carey, perechislenn v {country}.","Aktualisht nuk ka makina të listuara në {country}.",""
"noDealersFound","noDealersFound","General UI text","Dilery not naydeny","Nuk u gjetën dilerë",""
"noInternetConnection","noInternetConnection","General UI text","No internet connection.","Nuk ka lidhje interneti.",""
"noMax","noMax","General UI text","No Max","Pa maksimum",""
"noMin","noMin","General UI text","No Min","Pa minimum",""
"noRecentSearches","noRecentSearches","General UI text","No recent searches","Nuk ka kërkesa të fundit",""
"noResults","noResults","General UI text","No cars found","Nuk u gjetën automjete",""
"noResultsFound","noResultsFound","General UI text","No results found","Nuk u gjetën rezultate",""
"noResultsMessage","noResultsMessage","General UI text","Try adjusting your search terms","Provoni të përshtatni termat e kërkimit",""
"noResultsText","noResultsText","General UI text","Try searching with different keywords or browse by categories.","Provoni të kërkoni me fjalë kyçe të ndryshme ose shfletoni sipas kategorisë.",""
"noSavedCars","noSavedCars","General UI text","Poka nott sokhranotnn carey","Ende nuk ka makina të ruajtura",""
"none","none","General UI text","No modifications","Pa Modifikime",""
"nordFahrzeugeDescription","nordFahrzeugeDescription","Description text","Spetsialist po korporativnym carm, obsluzhivayushchiy delovoy rayon Frankfurta. Ekspert po resheniyam dlya avtoparkov i lizingu.","Specialist për automjete korporative që shërben qarkun e biznesit në Frankfurt. Ekspert në zgjidhje flotash dhe lejzing.",""
"northMacedonia","northMacedonia","General UI text","North Macedonia","Maqedonia e Veriut",""
"notAvailable","notAvailable","General UI text","N/D","N/D",""
"notFound","notFound","General UI text","Dealer Not Found","Artikulli i kërkuar nuk u gjet.",""
"noteText","noteText","General UI text","V prodakshenot strany avtomaticheski definotsya iz poddomena (naprimer, mk.carmaket365.com, al.carmaket365.com). Etot pereklyuchatel rabotaet tolko v rezhime razrabotki.","Në prodhim, vendet zbulohen automatikisht nga nëndomeni (p.sh., mk.carmarket365.com, al.carmarket365.com). Ky ndërrues funksionon vetëm në modalitetin e zhvillimit.",""
"noteTitle","noteTitle","Page or section title","Primechanie:","Shënim:",""
"notifications","notifications","General UI text","Notifications","Njoftimet",""
"notifyInquiries","notifyInquiries","General UI text","Get notifications about inquiries on your listings","Merr njoftimet për pyetjet në listat tuaja",""
"notifyNewCarsMatching","notifyNewCarsMatching","General UI text","Get notifications about new cars matching your searches","Merr njoftimet për automjete të reja që përputhen me kërkim tuaja",""
"notifyPriceDrops","notifyPriceDrops","General UI text","Get notifications when prices on saved cars drop","Merr njoftimet kur automjetet e ruajtura ulin çmimin",""
"november","november","General UI text","November","Nëntor",""
"number","number","General UI text","One number","",""
"numberOfDoors","numberOfDoors","General UI text","Number of doors","Numri i dyerve",""
"numberOfSeats","numberOfSeats","General UI text","Number of seats","Numri i vendeve",""
"of","of","General UI text","iz","nga",""
"oldest","oldest","General UI text","Oldest","Më të vjetrat",""
"oneYear","oneYear","General UI text","","një vit",""
"onlyListedDescription","onlyListedDescription","Description text","Tolko cari, perechislenn v <strong>{country} ({code})</strong>, dolzhny poyavitsya nizhe","Vetëm makinat e listuara në <strong>{country} ({code})</strong> duhet të shfaqen më poshtë",""
"openInGoogleMaps","openInGoogleMaps","General UI text","Open in Google Maps","Hap në Google Maps",""
"option","option","General UI text","Option","Opsioni",""
"optionPlaceholder","optionPlaceholder","Form placeholder text","Select Option","Zgjidh një opsion",""
"optional","optional","General UI text","Optional","Opsional",""
"orContinueWith","orContinueWith","General UI text","Or continue with","Or continue with",""
